"UniqueID","Branch","BranchSide","BranchTransect","Genus","Sexual","Asexual","LobeLength","LobeWidth","PatchLength","PatchWidth","PatchHeight","Elevation","Slope","SlopeFacing","LatN","LongW","CoastalInland","LobeArea","PatchArea","PatchVolume"
"B10SAHL04",10,"A","22, 23, 24","Heterodermia ","N","N",7,1,25,16,7.5,1031,NA,"W",37.68921,122.4412,"C",7,400,3000
"B10SAPP07",10,"A","23","Parmotrema","N","N",5.5,5,6,18.5,3.5,1031,NA,"W",37.68921,122.4412,"C",27.5,111,388.5
"B10SAPP08",10,"A","25","Parmotrema","N","N",6,7,6.5,18.5,7,1031,NA,"W",37.68921,122.4412,"C",42,120.25,841.75
"B10SBPP01",10,"B","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","Parmotrema","N","Y",11.5,9.5,101.5,32.5,4.5,1031,NA,"W",37.68921,122.4412,"C",109.25,3298.75,14844.375
"B10SBHL01",10,"B","13","Heterodermia ","N","Y",14.5,2,9,31.5,15,1031,NA,"W",37.68921,122.4412,"C",29,283.5,4252.5
"B10SBPP02",10,"B","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23","Parmotrema","Y","Y",11,12.5,94.5,26.5,4.5,1031,NA,"W",37.68921,122.4412,"C",137.5,2504.25,11269.125
"B10SBHL02",10,"B","23, 24, 25, 26","Heterodermia ","N","Y",5.5,1,27.5,17,5.5,1031,NA,"W",37.68921,122.4412,"C",5.5,467.5,2571.25
"B10SBPP03",10,"B","26, 27, 28","Parmotrema","N","Y",7,9.5,25,10,2.5,1031,NA,"W",37.68921,122.4412,"C",66.5,250,625
"B10SA.1HL01",10,"A.1","1, 2","Heterodermia","N","Y",12,2,13,14.5,9.5,1031,NA,"W",37.68921,122.4412,"C",24,188.5,1790.75
"B10SA.1PP01",10,"A.1","2, 3","Parmotrema","N","N",12,9.5,20,6.5,5,1031,NA,"W",37.68921,122.4412,"C",114,130,650
"B10SA.1HL02",10,"A.1","4","Heterodermia","N","N",4,0.5,14,11.5,2.5,1031,NA,"W",37.68921,122.4412,"C",2,161,402.5
"B10SA.1PP02",10,"A.1","4","Parmotrema","N","N",5.5,3.5,5.5,4,0.5,1031,NA,"W",37.68921,122.4412,"C",19.25,22,11
"B10SA.1HL02",10,"A.1","6","Heterodermia","N","N",6.5,1,7,11.5,7.5,1031,NA,"W",37.68921,122.4412,"C",6.5,80.5,603.75
"B10SA.1PP03",10,"A.1","6","Parmotrema","N","Y",5,5.5,4.5,3.5,0.5,1031,NA,"W",37.68921,122.4412,"C",27.5,15.75,7.875
"B10SB.1PP01",10,"B.1","1","Parmotrema","N","N",9.5,10,11.5,14,3,1031,NA,"W",37.68921,122.4412,"C",95,161,483
"B10SB.1PA01",10,"B.1","2","Physcia","N","N",2.5,0.5,7,4.5,0.5,1031,NA,"W",37.68921,122.4412,"C",1.25,31.5,15.75
"B10SB.1PP02",10,"B.1","2, 3","Parmotrema","N","N",10,12.5,17,8,5.5,1031,NA,"W",37.68921,122.4412,"C",125,136,748
"B10SB.1PA02",10,"B.1","3","Physcia","N","N",1.5,0.3,3.5,1,0.2,1032,NA,"W",37.68921,122.4412,"C",0.45,3.5,0.7
"B10SB.1PP03",10,"B.1","4","Parmotrema","N","N",6,5.5,7,7,1,1031,NA,"W",37.68921,122.4412,"C",33,49,49
"B10SB.1PP04",10,"B.1","5","Parmotrema","N","Y",4,4,6.5,10,0.5,1031,NA,"W",37.68921,122.4412,"C",16,65,32.5
